Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,C/C=C(/C(=O)O[C@H]1C[C@@H](OC(=O)C)[C@@]2([C@H]3[C@@]41CO[C@]([C@H]4[C@@](C)([C@@H]([C@@H]3OC2)O)[C@@]12O[C@@]2(C)[C@H]2C[C@@H]1O[C@H]1[C@]2(O)C=CO1)(O)C(=O)OC)C(=O)OC)\C,C35H44O16,720.71,51,0,0.77,10,16,3,165.92,215.34,2.90,1.09,-0.20,-0.47,1.07,0.88,-4.34,3.33e-02,4.62e-05,Moderately soluble,-5.20,4.50e-03,6.25e-06,Moderately soluble,-1.40,2.86e+01,3.97e-02,Soluble,Low,No,Yes,No,No,No,No,No,-9.92,2,3,1,1,4,0.17,0,3,2,8.11
Molecule 2,COC(=O)C[C@H]1[C@@]2(C)[C@H](O[C@H]3C2=C(C)[C@@H](C3)c2cocc2)[C@@H]([C@@H]2[C@]1(C)C(=O)C=C[C@@]2(C)C(=O)OC)OC(=O)C,C30H36O9,540.60,39,5,0.60,8,9,0,138.81,118.34,3.68,2.28,3.92,2.04,3.96,3.17,-4.20,3.45e-02,6.38e-05,Moderately soluble,-4.40,2.14e-02,3.96e-05,Moderately soluble,-5.44,1.97e-03,3.64e-06,Moderately soluble,High,No,No,No,No,No,No,No,-7.98,1,3,0,0,0,0.55,0,2,2,6.54
Molecule 3,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0.00,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11e-01,6.98e-04,Soluble,-3.91,3.74e-02,1.24e-04,Soluble,-3.24,1.73e-01,5.73e-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
Molecule 4,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0.00,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,5.63e-02,1.97e-04,Soluble,-4.51,8.84e-03,3.09e-05,Moderately soluble,-3.82,4.29e-02,1.50e-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Molecule 5,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.63,0.21,-0.23,-2.02,0.33,-0.02,-2.84,6.29e-01,1.46e-03,Soluble,-3.57,1.16e-01,2.68e-04,Soluble,-2.38,1.81e+00,4.20e-03,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,5.12
Molecule 6,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,C14H6O8,302.19,22,16,0.00,0,8,4,75.31,141.34,0.79,1.10,1.31,0.14,1.67,1.00,-2.94,3.43e-01,1.14e-03,Soluble,-3.66,6.60e-02,2.18e-04,Soluble,-3.35,1.36e-01,4.49e-04,Soluble,High,No,No,Yes,No,No,No,No,-7.36,0,0,1,1,0,0.55,1,3,0,3.17
Molecule 7,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@@H](Cc2c(c1)O)O,C15H14O6,290.27,21,12,0.20,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.98,0.85,-2.22,1.74e+00,5.98e-03,Soluble,-2.24,1.66e+00,5.72e-03,Soluble,-2.14,2.09e+00,7.19e-03,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.50
Molecule 8,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O,C15H14O6,290.27,21,12,0.20,1,6,5,74.33,110.38,1.33,0.36,1.22,0.24,0.98,0.83,-2.22,1.74e+00,5.98e-03,Soluble,-2.24,1.66e+00,5.72e-03,Soluble,-2.14,2.09e+00,7.19e-03,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.50
Molecule 9,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0.00,1,6,4,76.01,111.13,1.70,1.90,2.28,-0.03,2.03,1.58,-3.31,1.40e-01,4.90e-04,Soluble,-3.86,3.98e-02,1.39e-04,Soluble,-3.82,4.29e-02,1.50e-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.70,0,0,0,0,0,0.55,0,0,0,3.14
Molecule 10,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H20O12,464.38,33,16,0.29,4,12,8,110.16,210.51,0.94,0.36,-0.54,-2.59,-0.59,-0.48,-3.04,4.23e-01,9.10e-04,Soluble,-4.35,2.10e-02,4.51e-05,Moderately soluble,-1.51,1.43e+01,3.08e-02,Soluble,Low,No,No,No,No,No,No,No,-8.88,2,1,1,1,3,0.17,1,1,1,5.32
