Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 3,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0.0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,0.211,0.000698,Soluble,-3.91,0.0374,0.000124,Soluble,-3.24,0.173,0.000573,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
Molecule 4,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,C15H10O6,286.24,21,16,0.0,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,2.03,1.73,-3.71,0.0563,0.000197,Soluble,-4.51,0.00884,3.09e-05,Moderately soluble,-3.82,0.0429,0.00015,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.25,0,0,0,0,0,0.55,1,1,0,3.02
Molecule 6,Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,C14H6O8,302.19,22,16,0.0,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.67,1.0,-2.94,0.343,0.00114,Soluble,-3.66,0.066,0.000218,Soluble,-3.35,0.136,0.000449,Soluble,High,No,No,Yes,No,No,No,No,-7.36,0,0,1,1,0,0.55,1,3,0,3.17
Molecule 7,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@@H](Cc2c(c1)O)O,C15H14O6,290.27,21,12,0.2,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.98,0.85,-2.22,1.74,0.00598,Soluble,-2.24,1.66,0.00572,Soluble,-2.14,2.09,0.00719,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.5
Molecule 8,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O,C15H14O6,290.27,21,12,0.2,1,6,5,74.33,110.38,1.33,0.36,1.22,0.24,0.98,0.83,-2.22,1.74,0.00598,Soluble,-2.24,1.66,0.00572,Soluble,-2.14,2.09,0.00719,Soluble,High,No,Yes,No,No,No,No,No,-7.82,0,0,0,0,0,0.55,1,1,0,3.5
Molecule 9,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0.0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,0.14,0.00049,Soluble,-3.86,0.0398,0.000139,Soluble,-3.82,0.0429,0.00015,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14
Molecule 12,O=C1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C15H22O5,282.33,20,0,0.93,0,5,0,70.38,53.99,2.72,2.9,2.39,2.62,1.82,2.49,-3.42,0.108,0.000382,Soluble,-3.69,0.0571,0.000202,Soluble,-2.03,2.61,0.00925,Soluble,High,Yes,No,Yes,No,No,No,No,-5.96,0,0,0,0,0,0.55,0,1,0,6.13
Molecule 13,OC(=O)CCC(=O)O[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C19H28O8,384.42,27,0,0.89,5,8,1,92.46,100.52,2.92,1.88,2.6,1.88,1.37,2.13,-3.08,0.321,0.000836,Soluble,-3.61,0.0937,0.000244,Soluble,-1.73,7.22,0.0188,Soluble,High,No,No,No,No,No,No,No,-7.31,0,0,0,0,0,0.56,0,1,1,6.67
Molecule 14,CC12CCC(CC1)C(O2)(C)C,C10H18O,154.25,11,0,1.0,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.86,2.67,-2.52,0.463,0.003,Soluble,-2.59,0.398,0.00258,Soluble,-2.45,0.545,0.00353,Soluble,High,Yes,No,No,No,No,No,No,-5.3,0,1,0,0,2,0.55,0,0,1,3.65
Molecule 15,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O4,254.24,19,12,0.07,0,4,2,68.76,74.6,2.22,3.53,2.18,0.92,3.04,2.38,-4.11,0.0198,7.81e-05,Moderately soluble,-4.78,0.00421,1.66e-05,Moderately soluble,-4.49,0.00832,3.27e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-5.34,0,0,0,0,0,0.55,1,0,1,2.47
